"Scenario","Scenario_Label","Summary_Source","Fixed_SS_Per_Group","Metric","rho","Delta","tau_Omega_A","A_A","A_0","A_YG","A_0_over_A","A_YG_over_0","Empirical_power","FORSS_HA","FORSS_H0_variance","Yu_Ganju","Power_diff_H0_minus_HA"
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"NB",0.6,0.12310746125,0.25625750775,0.564601719449502,0.566424415367136,0.622888059814506,1.00322828616146,1.09968434077965,0.7674,0.765470041831556,0.7651120251777,0.725200066068286,-0.000358016653856708
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"WR",0.8,0.334562103123761,0.284836924130435,4.56101601362899,4.59191972533987,4.79083989831999,1.00677562008521,1.043319610289,0.7367,0.726662576346937,0.725986274262809,0.70780857534233,-0.000676302084127722
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"NB",0.8,0.118529685,0.284836924130435,0.560947585127681,0.560637261054246,0.612578617767942,0.999446785971342,1.09264699355876,0.7399,0.737678367362935,0.737735730665175,0.699815098359053,5.73633022394882e-05
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"WR",0,0.355551815521599,0.129215273833333,3.47074170464138,3.30221908942354,3.45807711106531,0.95144478340394,1.04719796519285,0.8404,0.850522725287255,0.856528466324552,0.84035074558542,0.00600574103729679
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"NB",0,0.153194072833332,0.129215273833333,0.622616632609517,0.645350994226175,0.655535608672118,1.03651422147425,1.01578151197885,0.8433,0.842796950816566,0.838458161206926,0.832765114804356,-0.00433878960963929
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"WR",0.2,0.339200305801327,0.130714172083334,3.47094282748975,3.30868546104271,3.46863792712295,0.95325265367036,1.04834320698161,0.8064,0.816230189402476,0.821976033262833,0.80390893905462,0.00574584386035781
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"NB",0.2,0.146033507416667,0.130714172083334,0.62372693311155,0.644923883846269,0.655275870144379,1.03398434412472,1.01605148538828,0.811,0.806649519960099,0.802690742074848,0.796441387578322,-0.00395877788525167
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"WR",0.4,0.325737855053662,0.134788109339625,3.48795586642863,3.32938503286447,3.49752662621868,0.954537603216145,1.05050229747971,0.7718,0.78274289608909,0.788111014073519,0.768137810605582,0.00536811798442904
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"NB",0.4,0.139683218962261,0.134788109339625,0.623525481014221,0.643528238799721,0.654554777053766,1.03208009679567,1.01713450566616,0.7762,0.771436667431599,0.767897055508647,0.760890147261672,-0.00353961192295149
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"WR",0.6,0.313821815298331,0.142265026891893,3.52577856001777,3.3695524476868,3.55126019949265,0.955690322102877,1.05392637586947,0.7391,0.747845399119558,0.752705664262834,0.730565371039856,0.00486026514327598
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"NB",0.6,0.133494179054054,0.142265026891893,0.621725579002069,0.640728154791493,0.653173774748966,1.03056424961625,1.01942418147915,0.7431,0.734886554628577,0.731805316960449,0.72361048465851,-0.00308123766812796
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"WR",0.8,0.305792504693218,0.155341834411765,3.59881289600261,3.44296594476558,3.64752474308441,0.956694900307226,1.05941354099939,0.7058,0.717331724699799,0.721667179007112,0.696838535632233,0.00433545430731264
"S3","S3: Survival + Continuous","Simulation Examples/Summary.Scenario3.Nsp2000.csv",239,"NB",0.8,0.128148037352942,0.155341834411765,0.617026936738266,0.635287385874571,0.650579276321058,1.02959424953606,1.02407082335727,0.7113,0.703095887303297,0.700418604268154,0.690130203315143,-0.00267728303514292
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"WR",0,0.398254149892417,0.229345515892856,4.19440771541176,4.21022656044741,4.25385795665057,1.00377141329812,1.01036319437368,0.8564,0.85142986485904,0.850975214527543,0.847364897005082,-0.000454650331496942
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"NB",0,0.151461548035714,0.229345515892856,0.586987502745035,0.59455741423154,0.631600422893226,1.01289620554289,1.06230350135245,0.8591,0.860745458783833,0.859204879367316,0.838021148709866,-0.00154057941651631
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"WR",0.2,0.379085360924897,0.232364908461538,4.20796326834115,4.22878246868538,4.28107893814211,1.0049475717863,1.01236679111399,0.8188,0.81383731645872,0.81324753501047,0.808523185543114,-0.000589781448249393
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"NB",0.2,0.143781866538461,0.232364908461538,0.587717047867362,0.593295418589073,0.630671032877107,1.00949159249668,1.06299663391455,0.8222,0.823873585507669,0.822736712489412,0.799273148682524,-0.00113687301825727
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"WR",0.4,0.363307481208389,0.240660688913044,4.26426817792632,4.28894128472179,4.35698304494768,1.00578601198752,1.01586446530948,0.7821,0.774654073799694,0.774001364084953,0.767558328111825,-0.00065270971474074
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"NB",0.4,0.136439371521739,0.240660688913044,0.585652333249658,0.589224000849601,0.628054955207933,1.00609861413874,1.06590185447698,0.7863,0.785329340199278,0.784628348167349,0.758541267869339,-0.000700992031928749
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"WR",0.6,0.350949070813571,0.256283570000001,4.38212476225934,4.40857117982409,4.50452536055981,1.00603506723325,1.02176536950903,0.7425,0.73431820672804,0.733701177937363,0.72453780030361,-0.000617028790676266
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"NB",0.6,0.129180133478262,0.256283570000001,0.579736198388494,0.581191503248897,0.622879154498703,1.00251028806628,1.07172790898829,0.7463,0.745521896507699,0.745256416236001,0.715816111584821,-0.000265480271697038
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"WR",0.8,0.343241283497673,0.28471916,4.61803079281591,4.63963046258549,4.78961209138497,1.00467724680467,1.03232620140956,0.7034,0.693127910939667,0.692714651063584,0.678920318802678,-0.000413259876083205
"S4","S4: Binary + Continuous","Simulation Examples/Summary.Scenario4.Nsp2000.csv",239,"NB",0.8,0.121565775416667,0.28471916,0.567026453672666,0.566323319857349,0.61262333328593,0.998759962942181,1.08175544217435,0.7066,0.704381702854737,0.704496799215463,0.670449258714637,0.000115096360726041
